Ticker,Yearly Return (%)
ADANIENT,-2.339572192513369
ADANIPORTS,-2.242687407548791
APOLLOHOSP,-0.7991234858827283
ASIANPAINT,0.18550690497924624
AXISBANK,0.41905803042724865
BAJAJ-AUTO,1.4348390562743376
BAJAJFINSV,0.5607253638749621
BAJFINANCE,0.39320185503592686
BEL,-0.4055150040551501
BHARTIARTL,1.8903311781254717
BPCL,-0.3096934035304998
BRITANNIA,0.35057708936425497
CIPLA,-0.3756994404476455
COALINDIA,-1.5191199580932453
DRREDDY,-0.40795994262794916
EICHERMOT,2.6037861998093303
GRASIM,0.3525447406176753
HCLTECH,-1.1895534962089362
HDFCBANK,0.6566162181261463
HDFCLIFE,-0.30830892554339445
HEROMOTOCO,0.5098881888043122
HINDALCO,0.7290301441677663
HINDUNILVR,0.3465486392315592
ICICIBANK,-0.2801681008605118
INDUSINDBK,0.006254495418590638
INFY,-0.5446868856157423
ITC,-1.2712317060143121
JSWSTEEL,0.301959890610754
KOTAKBANK,-0.054998297671748256
LT,0.015600845282167722
M&M,1.5323196148652696
MARUTI,0.18476559081228788
NESTLEIND,-2.8937908257953113
NTPC,0.4519774011299361
ONGC,-0.14609203798392156
POWERGRID,-0.4407135362014738
RELIANCE,-0.20538478762750315
SBILIFE,0.03491376300537672
SBIN,0.10914477274498038
SHRIRAMFIN,0.21719501183592127
SUNPHARMA,-0.06347946835944888
TATACONSUM,0.6205241648232274
TATAMOTORS,-1.347078168479633
TATASTEEL,-0.17876296031462283
TCS,-0.4644328409120679
TECHM,-1.8887561191843656
TITAN,-0.04623145642685974
TRENT,1.760434362612835
ULTRACEMCO,0.37270642201834864
WIPRO,-1.2260295504558243
